id,age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
18,1,Private,100,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,2,United-States,<=50K
19,2,Private,100,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
20,2,Self-emp-not-inc,100,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,>50K
21,2,Private,100,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
22,3,Private,100,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,0,United-States,<=50K
23,1,Federal-gov,100,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,2,United-States,<=50K
24,2,Private,100,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,3,2,United-States,<=50K
25,4,Private,100,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,2,United-States,<=50K
26,4,Local-gov,100,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
27,0,Private,100,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
28,3,Private,100,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,3,South,>50K
29,2,Private,100,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,4,United-States,<=50K
30,3,Private,100,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
31,0,Local-gov,100,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,3,United-States,<=50K
32,0,Private,100,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,2,United-States,<=50K
33,2,Private,100,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1,2,United-States,<=50K
34,1,Federal-gov,100,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,2,United-States,<=50K
35,0,State-gov,100,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,0,United-States,<=50K
36,3,Private,100,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,2,Puerto-Rico,<=50K
37,0,Private,100,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
38,0,Private,100,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,<=50K
39,1,Private,100,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,>50K
40,3,Self-emp-not-inc,100,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
41,1,Private,100,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
42,3,Self-emp-not-inc,100,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
43,0,Private,100,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,3,United-States,<=50K
44,3,Private,100,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
45,0,Private,100,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,1,United-States,<=50K
46,4,Federal-gov,100,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,2,United-States,>50K
47,3,Private,100,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
48,2,Private,100,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,<=50K
49,2,State-gov,100,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
50,1,Private,100,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
51,0,Private,100,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,2,United-States,<=50K
52,0,Private,100,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K
53,3,Private,100,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,3,3,Honduras,>50K
54,3,Federal-gov,100,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,>50K
55,3,Self-emp-inc,100,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,<=50K
56,2,Private,100,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
57,3,Private,100,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,<=50K
58,1,Private,100,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Puerto-Rico,<=50K
59,2,Private,100,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,3,United-States,<=50K
60,1,Private,100,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,0,2,United-States,<=50K
61,1,Private,100,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1,0,2,United-States,<=50K
62,1,Private,100,7th-8th,4,Married-spouse-absent,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
63,3,Private,100,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
64,2,Private,100,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
65,1,Private,100,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,3,United-States,<=50K
66,2,Private,100,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
67,1,Private,100,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
68,3,Private,100,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,>50K
69,3,Self-emp-inc,100,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
70,0,Private,100,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,2,United-States,<=50K
71,0,Private,100,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K
72,1,Private,100,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,2,United-States,<=50K
73,1,Self-emp-not-inc,100,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,4,United-States,>50K
74,0,Private,100,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,2,United-States,<=50K
75,4,Private,100,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,0,United-States,<=50K
76,1,Private,100,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,2,Mexico,<=50K
77,2,Private,100,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
78,4,Private,100,10th,6,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,<=50K
79,0,Private,100,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K
80,1,Local-gov,100,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,<=50K
81,0,Private,100,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K
82,3,Private,100,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Cuba,<=50K
83,3,Private,100,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,2,United-States,<=50K
84,4,Private,100,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
85,2,Private,100,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,4,0,2,United-States,>50K
86,3,Private,100,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,1,United-States,<=50K
87,3,Local-gov,100,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
88,1,Private,100,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
89,1,Private,100,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
90,2,Federal-gov,100,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,>50K
91,4,Private,100,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
92,2,Private,100,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,2,United-States,<=50K
93,1,Private,100,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,1,United-States,<=50K
94,1,Private,100,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1,1,United-States,<=50K
95,1,Local-gov,100,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
96,1,Local-gov,100,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,3,United-States,<=50K
97,3,Self-emp-not-inc,100,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,3,3,United-States,>50K
98,2,Private,100,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
99,3,Private,100,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,England,<=50K
100,1,Federal-gov,100,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,2,United-States,<=50K
101,4,Private,100,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
102,2,Private,100,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,3,United-States,>50K
103,3,Self-emp-not-inc,100,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,<=50K
104,0,Private,100,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,2,United-States,<=50K
105,1,Private,100,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
106,1,Self-emp-inc,100,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,2,United-States,>50K
107,0,Private,100,10th,6,Never-married,Prof-specialty,Own-child,White,Female,4,0,1,United-States,<=50K
108,1,Private,100,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,2,United-States,<=50K
109,1,Local-gov,100,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
110,2,Private,100,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
111,0,Private,100,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,2,United-States,<=50K
112,2,Private,100,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
113,4,Self-emp-not-inc,100,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,2,3,Canada,>50K
114,1,Private,100,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,2,0,1,United-States,<=50K
115,2,Private,100,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,2,United-States,<=50K
116,3,Private,100,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,3,United-States,<=50K
117,4,Self-emp-inc,100,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
118,3,Local-gov,100,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,>50K
119,3,Private,100,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
120,0,Private,100,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
121,0,Private,100,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,2,United-States,<=50K
122,2,Private,100,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,<=50K
123,1,Private,100,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,2,Germany,<=50K
124,1,State-gov,100,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
125,0,Private,100,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,1,United-States,<=50K
126,3,Private,100,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,2,United-States,>50K
127,0,Private,100,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,2,1,United-States,<=50K
128,1,Private,100,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
129,1,Private,100,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
130,2,Private,100,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
131,1,Private,100,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,3,United-States,<=50K
132,0,Private,100,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,2,2,United-States,<=50K
133,2,Self-emp-not-inc,100,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,1,United-States,<=50K
134,2,Private,100,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
135,3,Private,100,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,2,United-States,<=50K
136,2,Federal-gov,100,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,Iran,>50K
137,2,Self-emp-not-inc,100,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
138,1,Private,100,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,<=50K
139,0,Private,100,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,0,United-States,<=50K
140,3,Private,100,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,United-States,>50K
141,4,Self-emp-inc,100,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
142,1,Private,100,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
143,0,Private,100,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,1,Mexico,<=50K
144,2,Private,100,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,2,United-States,>50K
145,4,Private,100,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,2,United-States,<=50K
146,1,Private,100,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,1,United-States,<=50K
147,0,Private,100,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,<=50K
148,2,Private,100,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,1,United-States,<=50K
149,4,Private,100,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,2,United-States,<=50K
150,2,Private,100,Some-college,10,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,2,United-States,<=50K
151,3,Local-gov,100,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,Mexico,<=50K
152,1,Private,100,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
153,1,Private,100,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,2,Philippines,<=50K
154,0,Private,100,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,1,United-States,<=50K
155,3,Private,100,HS-grad,9,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,>50K
156,3,Private,100,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
157,0,Private,100,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
158,4,Self-emp-not-inc,100,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,2,0,United-States,<=50K
159,1,Private,100,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
160,2,Private,100,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,3,United-States,<=50K
161,4,Private,100,1st-4th,2,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,<=50K
162,0,Private,100,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,2,United-States,<=50K
163,2,Self-emp-inc,100,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,2,United-States,<=50K
164,1,Private,100,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,2,England,<=50K
165,2,Self-emp-not-inc,100,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,>50K
166,2,Private,100,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,2,Mexico,<=50K
167,2,Federal-gov,100,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,<=50K
168,3,State-gov,100,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,2,United-States,<=50K
169,0,Private,100,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
170,4,Local-gov,100,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,<=50K
171,1,Private,100,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,3,2,United-States,<=50K
172,1,State-gov,100,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,<=50K
173,3,Private,100,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,3,2,United-States,>50K
174,1,Private,100,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
175,1,State-gov,100,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
176,1,Private,100,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,1,United-States,<=50K
177,0,Private,100,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,2,United-States,<=50K
178,1,Private,100,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,2,United-States,<=50K
179,0,Private,100,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
180,1,Private,100,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,4,United-States,<=50K
181,2,Local-gov,100,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,2,United-States,>50K
182,2,Private,100,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
183,1,Private,100,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,2,United-States,<=50K
184,2,Private,100,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,>50K
185,2,Federal-gov,100,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
186,1,Private,100,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,2,United-States,<=50K
187,2,Self-emp-not-inc,100,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
188,3,Private,100,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,<=50K
189,1,Private,100,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,3,United-States,<=50K
190,4,State-gov,100,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,>50K
191,2,Private,100,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,1,United-States,<=50K
192,0,Private,100,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
193,2,Local-gov,100,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,<=50K
194,3,Private,100,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,<=50K
195,2,Federal-gov,100,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,1,United-States,<=50K
196,0,Private,100,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,2,Mexico,<=50K
197,2,Federal-gov,100,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,4,0,3,United-States,>50K
198,1,Private,100,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,2,0,2,United-States,>50K
199,0,Self-emp-not-inc,100,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
200,1,Private,100,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2,2,United-States,<=50K
201,0,Private,100,HS-grad,9,Never-married,Prof-specialty,Own-child,White,Male,0,0,2,Italy,<=50K
202,3,Private,100,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
203,2,Local-gov,100,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,2,United-States,<=50K
204,2,State-gov,100,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,1,United-States,<=50K
205,0,Private,100,11th,7,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
206,2,Private,100,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,2,0,2,United-States,>50K
207,4,Self-emp-inc,100,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,4,0,1,United-States,>50K
208,0,Private,100,11th,7,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,<=50K
209,2,Local-gov,100,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,2,United-States,<=50K
210,2,Private,100,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
211,1,Private,100,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,2,United-States,<=50K
212,4,Private,100,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,United-States,<=50K
213,3,Self-emp-inc,100,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,>50K
214,2,Private,100,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,3,United-States,>50K
215,3,Private,100,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
216,2,Private,100,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,Poland,<=50K
217,2,Private,100,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
218,0,Private,100,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
219,1,Private,100,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
220,4,Private,100,1st-4th,2,Divorced,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
221,4,Private,100,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,4,2,United-States,<=50K
222,3,Private,100,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,0,United-States,<=50K
223,3,Local-gov,100,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,1,United-States,<=50K
224,0,Private,100,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
225,4,Private,100,10th,6,Divorced,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Female,0,0,0,United-States,<=50K
226,4,Self-emp-not-inc,100,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,0,3,United-States,<=50K
227,4,Private,100,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,0,Columbia,<=50K
228,4,Private,100,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
229,1,Private,100,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,2,0,2,United-States,<=50K
230,2,Private,100,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,2,United-States,<=50K
231,0,Private,100,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,2,United-States,<=50K
232,1,Private,100,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,0,0,2,United-States,<=50K
233,1,Private,100,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,3,United-States,>50K
234,4,State-gov,100,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
235,2,State-gov,100,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
236,2,Private,100,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,Iran,>50K
237,2,Local-gov,100,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,4,United-States,>50K
238,0,Private,100,HS-grad,9,Never-married,Transport-moving,Own-child,White,Male,0,0,2,United-States,<=50K
